"POBREZA","INTERNET","NIVEL_EDU","MAL_CRONICO","TIPO_EMPLEO","UBIGEO"
"0","1","6","0","1","070101"
"1","1","4","0","0","070101"
"0","1","5","1","0","070101"
"0","1","4","0","0","070101"
"0","1","6","0","1","070101"
"0","1","3","1","1","070101"
"0","1","4","0","0","070101"
"0","0","1","1","0","080601"
"0","0","1","1","0","080601"
"0","1","3","0","0","080601"
"0","0","3","1","0","080601"
"0","0","5","0","1","080601"
"0","1","4","1","0","080601"
"0","0","3","1","0","080203"
"0","1","4","0","0","080203"
"1","0","1","1","0","080203"
"0","1","4","0","0","080203"
"0","1","5","0","0","080203"
"0","0","3","0","0","080203"
"0","0","1","1","0","080606"
"1","0","1","1","0","080606"
"0","0","3","1","0","080606"
"0","0","1","1","0","080606"
"0","1","3","1","0","080606"
"0","1","3","0","0","080606"
"1","0","3","0","0","080606"
"1","0","1","1","0","090306"
"1","1","3","0","0","090306"
"1","1","3","0","0","090306"
"1","0","1","0","0","090306"
"1","1","3","0","0","090306"
"1","0","1","1","0","090306"
"1","0","4","0","0","090306"
"0","0","6","0","0","090309"
"0","0","3","0","0","090309"
"1","0","4","0","0","090309"
"0","1","5","0","1","090309"
"0","1","6","0","1","090309"
"0","0","3","0","0","090309"
"0","1","4","0","1","090309"
"0","1","3","0","0","090309"
"0","0","3","0","0","100601"
"1","1","4","0","0","100601"
"0","0","3","1","0","100601"
"0","0","1","1","0","100601"
"1","1","4","0","0","100601"
"0","0","1","1","1","100602"
"0","1","3","0","0","100602"
"0","1","3","1","0","100602"
"0","1","4","1","0","100602"
"1","0","4","1","0","100602"
"0","0","2","0","0","100602"
"0","0","3","0","0","100602"
"0","0","3","1","0","100804"
"0","0","3","0","1","100804"
"0","0","3","0","0","100804"
"1","0","1","1","0","100804"
"0","0","3","1","1","100804"
"0","0","3","1","0","100804"
"0","0","4","1","1","110107"
"0","0","5","0","0","110107"
"0","0","4","1","0","110107"
"0","0","5","0","1","110107"
"0","1","6","1","0","110107"
"0","0","4","1","1","110107"
"0","1","5","1","1","110107"
"0","1","5","1","0","110107"
"0","1","1","0","0","110303"
"0","1","5","0","0","110303"
"0","1","4","1","1","110303"
"0","0","4","0","1","110303"
"0","1","1","1","0","110303"
"0","0","4","1","1","110303"
"1","0","3","0","0","120303"
"0","0","3","0","0","120303"
"1","0","3","0","0","120303"
"0","0","3","0","0","120303"
"0","1","4","0","0","120303"
"0","0","4","0","0","120303"
"0","1","4","1","0","120607"
"0","0","5","1","1","120607"
"0","1","3","1","0","120607"
"0","0","3","0","0","120607"
"1","0","3","0","1","120607"
"0","0","4","0","1","120607"
"1","0","3","0","0","120601"
"1","0","3","0","0","120601"
"1","0","1","0","0","120601"
"1","0","3","0","0","120601"
"1","0","1","0","0","120601"
"1","0","3","0","1","120601"
"1","0","3","0","0","120601"
"1","0","3","0","0","120601"
"0","1","3","0","0","120608"
"0","1","4","0","0","120608"
"0","0","3","0","0","120608"
"0","0","3","0","0","120608"
"1","0","3","0","0","120608"
"1","0","3","0","0","120608"
"1","0","3","0","0","120608"
"0","1","5","1","1","130105"
"0","1","3","1","1","130105"
"0","1","3","1","0","130105"
"0","1","5","1","1","130105"
"0","1","3","1","1","130105"
"0","1","6","1","0","130105"
"0","1","3","1","0","130101"
"0","1","4","0","0","130101"
"0","1","6","0","0","130101"
"0","1","4","1","0","130101"
"1","0","4","0","0","130101"
"0","1","4","1","1","130101"
"0","1","6","0","1","130205"
"0","0","2","0","0","130205"
"1","0","3","0","1","130205"
"0","1","5","1","0","130205"
"1","0","4","0","0","130205"
"0","1","3","0","1","130208"
"1","1","4","0","1","130208"
"0","1","4","0","1","130208"
"0","1","3","0","1","130208"
"0","1","4","0","0","130208"
"0","1","5","1","1","130208"
"1","0","3","1","0","130804"
"1","0","3","0","0","130804"
"0","1","3","0","0","130804"
"1","0","3","1","0","130804"
"1","0","3","1","0","130804"
"1","0","3","0","0","130804"
"1","0","3","0","0","130804"
"0","0","1","1","0","140312"
"0","1","3","0","1","140312"
"0","0","3","0","0","140312"
"0","1","2","0","1","140312"
"0","0","4","1","1","140312"
"1","0","3","0","0","140108"
"0","1","4","0","0","140108"
"0","1","3","0","0","140108"
"0","1","4","0","0","140108"
"0","1","1","0","0","140108"
"0","1","4","1","0","140108"
"0","1","3","0","0","140112"
"0","1","3","0","0","140112"
"0","1","4","0","0","140112"
"0","1","1","0","1","140112"
"0","1","3","0","1","140112"
"0","1","4","0","1","140112"
"0","1","4","0","1","140112"
"0","1","4","1","0","140112"
"0","1","4","1","1","140112"
"0","1","4","1","1","140112"
"1","1","4","1","0","140205"
"0","1","1","1","0","140205"
"0","1","3","0","0","140205"
"0","1","3","0","0","140205"
"1","1","3","0","0","140205"
"0","1","3","0","0","140205"
"1","1","4","0","0","140205"
"1","1","4","0","0","150132"
"0","0","4","1","0","150132"
"1","1","3","0","1","150132"
"0","1","4","1","0","150132"
"0","1","3","0","0","150132"
"0","1","4","1","1","150132"
"0","1","4","0","1","150132"
"0","1","4","1","0","150118"
"0","1","4","1","0","150118"
"0","0","3","1","0","150118"
"0","0","5","0","1","150118"
"0","1","5","1","1","150137"
"1","1","4","0","0","150137"
"0","1","3","1","0","150137"
"0","0","4","0","1","150137"
"0","1","3","0","1","150137"
"0","1","4","0","1","150115"
"0","0","4","1","0","150115"
"0","0","1","1","0","150115"
"0","1","6","1","1","150131"
"0","1","6","1","1","150131"
"0","1","6","0","1","150131"
"0","1","6","1","0","150131"
"0","1","6","1","1","150133"
"0","1","3","0","0","150133"
"0","1","4","0","0","150133"
"0","1","4","1","0","150133"
"0","0","1","1","0","150133"
"1","1","4","1","0","150142"
"0","1","4","1","0","150142"
"0","1","4","0","1","150142"
"0","1","4","0","1","150142"
"0","1","3","0","0","150801"
"0","0","3","1","0","150801"
"0","1","6","1","0","150801"
"0","1","4","0","0","150801"
"1","1","4","0","1","150805"
"1","1","4","0","0","150805"
"0","1","5","1","0","150805"
"1","0","4","0","1","150805"
"0","0","4","0","1","150805"
"0","0","3","1","1","150805"
"0","0","3","1","0","150301"
"0","0","1","1","0","150301"
"0","0","3","1","0","150301"
"1","0","3","0","0","150301"
"0","1","3","0","0","150301"
"0","1","3","0","0","150601"
"0","0","3","0","1","150601"
"0","0","4","0","1","150601"
"0","1","1","0","1","150601"
"1","0","3","1","0","150601"
"0","1","4","0","0","150407"
"0","1","3","0","0","150407"
"0","1","6","0","0","150407"
"0","1","4","0","1","150407"
"0","1","4","1","0","150407"
"0","1","5","0","1","150407"
"0","0","3","0","0","150407"
"0","0","2","0","1","150511"
"1","0","4","0","1","150511"
"0","1","3","1","0","150511"
"0","1","4","0","1","150511"
"0","0","3","1","0","150511"
"0","0","4","1","1","150511"
"1","0","4","0","0","150511"
"0","1","4","0","1","160108"
"0","1","6","0","1","160108"
"0","1","4","1","0","160108"
"0","0","4","0","1","160108"
"0","1","4","0","1","160108"
"0","0","3","1","0","160108"
"0","1","4","0","0","160108"
"0","1","6","0","1","160201"
"0","1","4","0","0","160201"
"0","1","4","1","1","160201"
"0","1","5","1","1","160201"
"1","1","4","1","0","160201"
"1","0","3","0","0","160105"
"1","0","3","0","0","160105"
"1","0","3","0","0","160105"
"0","0","1","1","0","160105"
"1","0","3","1","0","160105"
"1","0","3","0","0","160105"
"1","0","3","0","0","160112"
"1","0","4","0","0","160112"
"1","0","3","0","0","160112"
"1","0","3","1","0","160112"
"1","0","4","1","0","160112"
"1","0","3","1","0","160112"
"0","0","1","0","1","160112"
"1","0","3","0","0","160401"
"1","0","3","0","0","160401"
"1","1","3","0","0","160401"
"0","0","3","0","0","160401"
"1","0","1","1","1","160401"
"1","0","3","0","0","160205"
"0","0","1","0","0","160205"
"1","0","1","0","0","160205"
"1","0","3","0","0","160205"
"1","0","3","0","0","160205"
"1","0","3","0","0","160205"
"0","0","3","0","1","160601"
"0","0","3","0","0","160601"
"1","0","3","0","0","160601"
"0","0","3","1","0","160601"
"1","0","3","0","0","160601"
"1","0","3","0","0","160601"
"0","1","6","0","1","180303"
"0","1","4","1","0","180303"
"0","1","6","1","0","200101"
"0","1","5","1","0","200101"
"0","1","6","1","0","200101"
"0","1","4","1","0","200101"
"0","1","3","0","1","200101"
"0","0","4","1","1","200101"
"0","1","4","1","0","200101"
"0","0","4","0","0","200101"
"0","1","4","1","0","200101"
"0","1","3","0","0","200101"
"0","0","3","1","0","200501"
"0","0","4","0","0","200501"
"0","0","3","1","0","200501"
"0","1","6","0","1","200501"
"0","1","4","0","1","200501"
"0","1","4","0","0","200501"
"0","1","4","1","0","200105"
"0","1","6","1","1","200105"
"0","1","5","0","1","200105"
"0","0","3","1","0","200105"
"0","0","3","1","0","211101"
"0","0","3","0","0","211101"
"0","1","4","1","0","211101"
"0","1","6","1","1","211101"
"0","0","3","1","0","211101"
"0","0","4","1","0","211101"
"0","0","1","1","0","211101"
"0","0","3","1","0","211101"
"0","0","3","1","0","210802"
"0","0","1","1","0","210802"
"0","1","3","1","1","210802"
"0","0","6","1","1","210802"
"0","1","2","0","0","210802"
"1","0","4","1","0","210802"
"0","0","4","1","0","210901"
"0","0","4","1","0","210901"
"1","0","3","1","0","210901"
"0","1","6","1","0","210901"
"0","0","3","1","0","210901"
"0","0","3","1","0","210901"
"1","0","3","1","0","210901"
"0","1","3","0","0","220802"
"0","0","3","0","1","220802"
"0","0","1","0","1","220802"
"0","0","3","0","0","220802"
"0","0","3","0","0","220802"
"0","0","3","1","0","220802"
"1","1","4","0","0","220909"
"0","0","3","0","0","220909"
"0","1","3","0","0","220909"
"0","1","4","0","1","220909"
"0","0","3","0","0","220909"
"0","0","4","0","0","220909"
"1","0","4","0","1","220206"
"0","1","3","0","1","220206"
"1","1","1","0","0","220206"
"1","1","3","0","0","220206"
"0","0","1","0","0","220206"
"1","0","4","0","0","220206"
"0","1","4","0","0","220605"
"1","1","4","0","1","220605"
"0","1","3","0","0","220605"
"0","0","4","0","0","220605"
"0","0","1","1","1","220605"
"1","1","3","0","0","220605"
"1","0","3","0","0","220605"
"0","1","3","0","0","220605"
"0","0","4","1","0","221005"
"0","0","1","0","0","221005"
"0","0","3","1","0","221005"
"0","1","3","0","0","221005"
"0","0","4","0","1","221005"
"1","1","6","0","0","221005"
"0","1","4","1","0","230104"
"0","0","4","1","0","230104"
"0","1","4","1","0","230104"
"1","1","4","1","1","230104"
"1","1","4","0","1","230104"
"1","1","4","0","0","240101"
"0","1","5","0","1","240101"
"0","1","3","0","0","240101"
"0","1","6","1","1","240101"
"1","1","3","0","0","010101"
"1","1","4","0","0","010101"
"0","0","3","0","0","010101"
"1","0","3","0","1","010101"
"0","1","3","0","0","010101"
"0","1","4","1","0","010101"
"0","1","3","1","0","010101"
"0","1","6","1","1","010101"
"0","0","4","1","0","010501"
"0","0","3","1","0","010501"
"0","1","3","1","0","010501"
"0","0","1","1","0","010501"
"0","0","1","0","0","010501"
"1","0","3","0","0","010501"
"0","1","3","1","0","021809"
"0","1","3","1","1","021809"
"0","1","6","0","1","021809"
"0","1","3","0","0","021809"
"0","0","4","0","0","021809"
"0","0","3","1","0","021809"
"0","1","4","0","1","021809"
"0","1","4","1","1","021809"
"0","1","5","1","1","021809"
"0","1","4","1","0","021809"
"0","1","3","0","1","021809"
"0","1","6","1","0","021809"
"0","1","6","1","1","021809"
"0","1","4","1","0","020801"
"1","0","3","0","1","020801"
"0","1","4","1","1","020801"
"0","1","4","1","1","020801"
"0","0","4","1","0","020801"
"0","0","4","0","0","020801"
"0","0","3","0","1","040108"
"1","0","3","1","0","040108"
"0","0","3","0","1","040108"
"0","0","4","0","1","040108"
"0","0","4","0","0","040108"
"0","0","4","0","0","040208"
"0","1","3","0","0","040208"
"0","0","4","1","0","040208"
"0","1","1","0","0","040208"
"0","0","4","1","0","040208"
"0","1","1","1","1","040208"
"0","1","4","0","0","040302"
"0","1","3","0","1","040302"
"0","1","3","0","0","040302"
"0","0","4","1","0","040302"
"0","0","4","1","1","040302"
"0","0","3","1","0","040302"
"0","1","3","0","0","040703"
"0","0","1","0","1","040703"
"1","0","4","0","1","040703"
"0","1","4","0","1","040703"
"0","1","4","0","0","060101"
"0","0","3","1","1","060101"
"0","1","3","1","0","060101"
"0","1","6","0","0","060101"
"0","0","1","1","0","060101"
"0","1","3","1","1","060101"
"0","1","4","1","0","060101"
"1","0","1","0","0","060701"
"1","0","3","0","0","060701"
"1","1","3","0","0","060701"
"0","1","5","0","0","060701"
"1","0","3","0","0","060701"
"0","1","3","0","1","060701"
"0","0","4","1","0","060301"
"0","0","3","1","0","060301"
"0","0","4","1","0","060301"
"1","0","4","0","0","060301"
"0","0","4","0","1","060301"
"1","0","4","0","1","060601"
"1","0","3","0","0","060601"
"1","0","1","1","0","060601"
"1","0","1","1","1","060601"
"0","0","1","0","0","060601"
"1","0","3","0","0","060601"
"0","0","4","0","0","060502"
"0","0","3","1","0","060502"
"0","1","3","1","0","060502"
"0","0","4","1","1","060502"
"0","0","3","1","0","060502"
"1","1","3","0","0","060502"
"0","1","4","0","1","110101"
"0","1","2","1","1","110101"
"0","0","3","1","0","110101"
"0","0","4","1","1","110101"
"0","0","6","1","1","110101"
"0","0","4","1","1","110106"
"0","1","6","1","0","110106"
"0","1","3","1","0","110106"
"0","1","3","1","0","110106"
"0","0","3","1","0","110106"
"0","1","3","1","1","110108"
"0","0","1","1","0","110108"
"0","1","3","0","1","110108"
"0","0","4","0","0","110108"
"0","0","3","1","0","110111"
"0","1","3","0","1","110111"
"0","1","2","0","1","110111"
"0","1","4","1","1","110111"
"0","0","3","0","0","110111"
"0","0","4","1","1","110503"
"0","1","4","1","1","110503"
"0","0","4","1","1","110503"
"0","0","3","1","0","110503"
"0","0","4","0","1","110503"
"0","0","4","1","1","110503"
"0","0","4","1","0","131003"
"0","0","4","0","0","131003"
"0","0","5","0","0","131003"
"1","0","3","1","0","131003"
"0","1","3","1","1","130901"
"0","0","3","1","0","130901"
"1","0","2","0","0","130901"
"1","0","3","0","0","130901"
"1","0","3","0","0","130901"
"1","0","3","0","0","130613"
"1","0","1","0","0","130613"
"0","1","3","1","0","130613"
"1","0","1","0","0","130613"
"1","0","1","1","0","130613"
"1","1","1","0","0","130613"
"0","1","6","1","1","131001"
"0","1","6","0","0","131001"
"0","0","3","1","0","131001"
"1","0","3","1","0","131001"
"1","0","3","1","0","150507"
"1","1","4","0","1","150507"
"0","1","3","0","0","150507"
"0","0","4","1","0","150507"
"1","1","5","0","1","150501"
"0","0","4","1","1","150501"
"0","0","4","0","1","150501"
"0","0","4","0","0","150501"
"0","0","3","1","0","150501"
"0","0","4","0","1","150501"
"0","1","4","1","0","150205"
"0","0","3","0","1","150205"
"1","0","3","0","1","150205"
"0","0","1","1","1","150205"
"0","0","4","1","1","150205"
"0","1","4","0","1","150801"
"0","1","6","0","0","150801"
"0","1","4","1","0","150801"
"0","1","6","0","1","150801"
"1","1","2","1","0","150801"
"1","1","3","0","0","150801"
"1","1","4","1","1","150505"
"0","0","3","0","0","150505"
"0","1","3","0","1","150505"
"0","1","3","0","0","150509"
"1","1","4","0","1","150509"
"0","1","4","0","1","150509"
"0","0","4","0","1","150509"
"0","0","3","1","1","150806"
"0","0","4","0","0","150806"
"0","0","3","1","1","150806"
"1","1","4","1","0","150806"
"0","1","6","0","1","150806"
"0","1","5","0","1","150806"
"0","1","4","1","1","150205"
"0","1","4","0","0","150205"
"0","0","3","1","1","150205"
"0","1","3","1","0","150205"
"0","1","3","1","0","180101"
"0","1","5","1","1","180101"
"0","1","4","0","0","180101"
"0","0","4","1","0","180101"
"0","1","3","1","1","180101"
"0","1","3","0","0","180101"
"0","1","3","0","0","180301"
"0","1","4","1","1","180301"
"0","1","4","1","1","180301"
"0","1","3","0","1","180301"
"0","1","4","1","0","180301"
"0","1","3","0","1","180301"
"0","0","3","1","1","180301"
"0","1","3","1","0","180303"
"0","1","3","1","0","180303"
"0","0","4","1","0","180303"
"0","1","4","0","1","180303"
"0","1","3","1","0","180303"
"0","1","6","1","1","200301"
"0","0","3","1","0","200301"
"0","0","3","0","0","200301"
"0","1","6","1","1","200301"
"0","1","4","0","1","200301"
"0","0","4","0","0","200301"
"0","1","4","0","0","230110"
"0","1","2","1","1","230110"
"0","1","4","0","1","230110"
"0","0","3","1","0","230110"
"1","1","4","1","1","230110"
"0","0","4","0","1","230110"
"0","1","1","0","0","230110"
"0","1","5","1","1","230110"
"0","1","5","1","0","230102"
"0","1","4","0","1","230102"
"0","0","3","0","1","230102"
"0","1","4","0","0","230102"
"1","0","4","0","0","230102"
"1","0","3","0","1","230102"
"0","0","3","0","1","230102"
"0","0","1","0","0","230102"
"0","1","4","1","1","230102"
"1","1","3","1","0","230102"
"0","0","5","1","0","230102"
"0","1","6","1","1","230110"
"0","1","6","0","1","230110"
"0","1","4","1","0","230110"
"0","1","5","0","0","230110"
"0","1","4","0","1","230110"
"1","0","1","1","0","160103"
"1","0","3","1","0","160103"
"0","0","4","0","0","160103"
"1","0","4","0","0","160103"
"0","0","3","1","1","160103"
"1","0","3","0","0","160103"
"0","1","2","0","1","090401"
"0","1","4","0","0","090401"
"1","0","3","0","0","090401"
"0","1","1","1","0","090401"
"0","0","4","0","0","090401"
"0","0","4","0","0","090401"
"0","0","3","1","1","090401"
"0","0","5","0","1","150603"
"0","0","3","1","1","150603"
"0","0","3","0","0","150603"
"1","0","3","0","0","150603"
"0","1","5","0","0","150603"
"0","0","4","1","0","150603"
"0","1","4","1","0","150603"
"0","0","3","1","0","150603"
"1","0","4","0","0","010703"
"0","1","3","1","0","010703"
"0","0","3","0","0","010703"
"1","0","3","0","0","010703"
"1","0","3","0","0","010703"
"0","0","3","1","0","010703"
"0","1","3","0","0","010702"
"0","0","1","1","0","010702"
"0","0","3","0","0","010702"
"0","0","1","1","0","010702"
"0","1","3","0","0","010702"
"1","0","3","1","0","010702"
"0","1","3","0","0","010702"
"1","0","3","0","0","010702"
"0","0","3","1","0","081004"
"1","0","3","0","0","081004"
"0","0","3","1","0","081004"
"0","1","5","0","0","081004"
"1","0","3","1","0","081004"
"1","0","3","1","0","081004"
"0","0","3","1","0","150715"
"0","1","3","0","0","150715"
"1","0","3","0","0","150715"
"0","0","3","0","0","150715"
"1","0","3","0","0","150715"
"0","0","3","1","0","150715"
"0","0","4","0","0","170104"
"1","0","3","0","0","170104"
"0","1","4","0","0","170104"
"0","1","3","0","0","110103"
"0","1","4","0","0","110103"
"0","0","3","1","1","110103"
"0","1","6","0","1","110103"
"0","1","6","0","0","110103"
"0","1","4","0","1","110103"
"0","0","3","0","1","110103"
"0","1","3","0","0","110103"
"0","0","1","1","1","010110"
"0","0","1","0","1","010110"
"0","0","3","0","0","010110"
"0","0","3","0","0","010110"
"0","1","3","1","0","010110"
"1","0","3","1","0","010110"
"0","1","1","0","0","010110"
"1","0","1","0","0","010110"
"0","0","1","0","0","010110"
"0","0","3","0","0","100605"
"0","0","5","0","1","100605"
"0","1","2","0","0","100605"
"0","1","4","1","0","100605"
"0","1","4","1","0","100605"
"0","0","3","1","1","100605"
"0","0","4","0","1","100605"
"0","1","4","0","1","100605"
"1","0","3","0","0","160106"
"0","0","3","0","0","160106"
"0","0","4","0","0","160106"
"0","0","3","0","0","160106"
"0","0","1","1","0","160106"
"1","0","1","1","0","160106"
"0","0","3","0","1","221003"
"0","1","3","1","0","221003"
"0","0","3","1","0","221003"
"0","0","3","1","1","221003"
"0","1","4","0","1","221003"
"0","1","4","0","0","221003"
"0","1","4","0","0","221003"
"0","1","3","1","1","221003"
"0","0","3","0","0","120415"
"0","0","3","0","0","120415"
"0","0","3","0","0","120415"
"0","0","3","1","1","120415"
"0","0","3","1","0","120415"
"0","1","3","1","0","120415"
"0","0","4","0","0","120415"
"1","0","3","1","0","120415"
"1","0","2","0","0","170303"
"0","0","2","0","0","170303"
"0","0","3","0","1","170303"
"0","0","3","1","0","170303"
"0","0","3","0","0","170303"
"0","0","3","1","0","170303"
"1","0","1","1","0","170303"
"0","0","4","0","0","170303"
"0","0","3","0","0","010101"
"0","1","3","1","1","010101"
"0","1","3","0","0","010101"
"0","0","2","1","0","010101"
"0","0","4","1","0","010101"
"0","1","4","1","1","010101"
"1","0","3","0","0","010101"
"1","0","1","1","0","010101"
"0","1","3","0","1","010101"
"0","1","4","0","0","010101"
"0","0","4","1","1","010101"
"0","0","4","0","0","010101"
"0","1","5","0","0","010101"
"0","1","6","1","1","010101"
"0","1","5","0","1","010101"
"0","1","5","0","1","010101"
"0","0","6","1","0","010101"
"0","1","4","0","0","010101"
"0","1","3","0","1","010101"
"0","0","3","1","0","010101"
"0","1","5","1","1","010101"
"0","1","3","0","1","010101"
"0","1","4","0","0","010101"
"0","1","6","0","1","010101"
"0","1","5","0","0","010101"
"0","1","3","1","0","010101"
"0","1","4","1","0","010101"
"0","1","5","1","0","010101"
"0","0","3","1","0","010101"
"0","1","3","1","1","010101"
"0","1","4","1","1","010101"
"0","1","4","1","1","010101"
"0","1","2","1","0","010101"
"0","1","3","0","1","010101"
"0","1","3","0","0","010101"
"0","0","4","0","0","010101"
"0","1","3","0","0","010101"
"0","1","6","1","1","010101"
"0","0","3","0","1","010101"
"0","1","3","1","1","010101"
"0","1","4","0","0","010101"
"0","1","6","1","1","010101"
"0","1","4","1","0","010101"
"0","1","6","1","1","010101"
"0","1","3","1","0","010101"
"0","1","5","1","1","010101"
"0","1","4","0","1","010101"
"0","1","4","1","1","010101"
"0","1","6","1","1","010101"
"0","1","3","1","0","010101"
"0","1","3","1","1","010101"
"0","0","3","1","1","010101"
"0","1","6","1","1","010101"
"0","1","4","0","0","010101"
"0","1","4","1","0","010101"
"0","1","4","1","0","010101"
"0","1","3","0","0","010101"
"0","0","3","1","0","010101"
"0","1","5","1","1","010101"
"0","1","6","1","1","010101"
"0","1","6","0","1","010101"
"1","0","3","0","1","010101"
"0","1","3","0","1","010101"
"0","1","3","0","1","010101"
"0","0","3","1","1","010101"
"0","1","3","0","0","010101"
"0","1","3","0","1","010101"
"0","1","3","0","0","010101"
"0","1","4","0","0","010101"
"0","1","3","0","0","010101"
"1","1","3","1","0","010101"
"1","0","3","0","1","010101"
"0","1","3","0","1","010101"
"0","0","1","1","0","010101"
"0","0","1","1","1","010101"
"0","1","3","0","1","010101"
"0","1","3","0","1","010101"
"0","0","3","0","1","010101"
"1","1","3","0","0","010101"
"0","1","4","1","0","010101"
"0","1","4","1","1","010101"
"0","1","2","0","1","010101"
"0","1","4","0","1","010101"
"0","1","2","1","1","010101"
"0","1","4","1","0","010101"
"0","0","6","1","1","010101"
"0","1","6","0","0","010101"
"0","0","3","1","0","010101"
"0","0","4","0","0","010101"
"0","1","6","0","1","010101"
"0","1","6","0","1","010101"
"0","1","6","0","1","010101"
"0","1","5","1","0","010101"
"0","1","4","1","0","010101"
"0","1","3","1","1","010101"
"1","0","3","1","0","010101"
"0","1","3","1","0","010101"
"0","1","6","0","1","010101"
"0","0","3","0","0","010101"
"0","0","3","0","0","010101"
"0","1","6","0","0","010101"
"0","1","4","0","1","010101"
"0","1","4","1","0","010101"
"0","1","6","1","0","010101"
"0","1","6","1","1","010101"
"0","1","6","1","0","010101"
"0","0","4","1","0","010101"
"0","1","3","0","1","010101"
"0","1","6","0","1","010101"
"0","1","4","0","0","010101"
"0","1","6","1","1","010101"
"0","1","6","0","1","010101"
"0","1","4","0","1","010101"
"0","1","5","1","0","010101"
"0","1","5","1","1","010101"
"0","1","4","1","0","010101"
"0","1","6","1","0","010101"
"0","1","6","1","1","010101"
"0","0","3","0","1","010101"
"1","0","1","1","0","010101"
"0","1","3","0","1","010101"
"0","1","3","0","1","010101"
"0","1","4","1","0","010509"
"0","1","5","0","1","010509"
"0","0","3","1","0","010509"
"1","0","4","0","1","010509"
"0","0","3","1","0","010509"
"0","1","3","1","0","010509"
"0","1","4","0","0","010110"
"0","0","3","1","1","010110"
"0","0","4","1","0","010110"
"0","0","3","1","1","010110"
"0","1","3","1","0","010306"
"0","1","3","1","0","010306"
"0","1","3","1","0","010306"
"0","1","3","1","1","010306"
"0","1","4","1","1","010306"
"0","1","6","1","1","010306"
"0","0","3","0","0","010110"
"0","0","1","1","0","010110"
"0","1","1","1","0","010110"
"0","1","3","0","0","010110"
"0","1","4","1","0","010110"
"0","0","1","1","0","010110"
"0","1","2","1","1","010701"
"0","1","4","0","0","010701"
"0","1","6","1","1","010701"
"0","1","3","1","0","010701"
"0","0","3","1","0","010701"
"0","1","4","1","1","010701"
"1","1","5","0","1","010601"
"0","1","4","1","1","010601"
"0","1","6","1","1","010601"
"0","1","4","0","0","010601"
"0","1","3","1","1","010601"
"0","0","3","0","0","010601"
"0","1","4","0","1","010701"
"0","1","6","1","1","010701"
"0","1","3","1","1","010701"
"0","0","3","0","0","010701"
"1","0","4","0","1","010701"
"0","0","4","0","1","010701"
"0","0","3","0","0","010701"
"1","0","4","0","0","010701"
